ID_LOM;STATUT;TYPE;INTITULE;ADRESSE;QUARTIER;SITUATION;USAGER;ACCESSIBILITE;OUVERTURE;LIEN_PHOTO;REMARQUES;OBJECTID;E;N
8218;Actif;Edicule enterré;WC public - Quai du Mont-Blanc - Brünswick;Quai du Mont-Blanc;Pâquis Sécheron;Sur la rotonde du Mont-Blanc, en face du monument BRUNSWICK;Hommes - Femmes;En sous-sol;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_8218.html;;1;2500533.12;1118270.42
3005;Actif;Pavillon;WC public - Quai Gustave-ADOR - Face Du-ROVERAY;Quai Gustave-ADOR;Eaux-Vives Cité;En face de la rue Du-ROVERAY;Hommes - Femmes - Handicapés;De plain-pied - WC PMR avec clé Eurokey;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_3005.html;;2;2501202.23;1117985.07
1012;Actif;Autonettoyant;WC public - Rond-point de Plainpalais;Rond-point de Plainpalais;Eaux-Vives Cité;Sous le couvert TPG de l'esplanade centrale;Hommes - Femmes - Handicapés;WC PMR avec clé Eurokey;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_1012.html;;3;2499955.73;1117113.3
8275;Actif;Edicule;WC public - Rond-point de Rive;Rond-point de Rive 1;Eaux-Vives Cité;Dans le kiosque des TPG;Hommes - Femmes;En sous-sol;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_8275.html;;4;2500802.15;1117511.38
8202;Actif;Edicule;WC public - Rue BUTINI;Rue BUTINI;Pâquis Sécheron;A l'angle de la rue De-CHÂTEAUBRIAND;Hommes - Femmes - Handicapés;De plain-pied - WC PMR avec clé Eurokey;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_8202.html;;5;2500557.49;1119029.6
8230;Actif;Edicule;WC public - Prieuré de Saint-Jean;Rue de Sous-Terre 3;Saint-Jean Charmilles;"Au lieu-dit ""Sous-Terre"" ou ""Prieuré de Saint-Jean""";Hommes - Femmes - Handicapés;De plain-pied - WC PMR avec clé Eurokey;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_8230.html;;6;2499108.05;1117791.51
1008;Actif;Autonettoyant;WC public - Sentier du Promeneur Solitaire;Sentier du Promeneur Solitaire;Saint-Jean Charmilles;En contrebas des jeux, à côté de la voie ferrée;Hommes - Femmes - Handicapés;WC PMR avec clé Eurokey;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_1008.html;;7;2498298.91;1117650.6
2010;Actif;Conteneur;WC public - Place DORCIERE;Place DORCIERE;Grottes Saint-Gervais;Sur le parking de la gare routière, côté fontaine;Hommes - Femmes;Marches;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_2010.html;;8;2500339.19;1118288.78
2011;Actif;Conteneur;WC public - Place des Nations - Paix;Place des Nations;Pâquis Sécheron;Angle place des Nations / avenue de la Paix;Hommes - Femmes;Marches;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_2011.html;;9;2499745.93;1119848
3013;Actif;Pavillon;WC public - Plaine de Plainpalais - Skate park;Plaine de Plainpalais;Plainpalais Jonction;Près du skate park;Hommes - Femmes;De plain-pied;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_3013.html;;10;2499763.76;1117301.82
